peak_rank,peak_name,peak_elevation_ft,peak_range,route_name,is_standard,is_snow_climb,is_primary_for_peak,route_summits,difficulty,elevation_gain,distance,exposure,rockfall,route_finding,commitment,route_key,peak_id,peak_slug,road_difficulty
17,Mount Shavano,14230,Sawatch Range,Tabeguache Peak - West Ridge,false,false,false,Tabeguache Peak,Class 2,"4,000'",8 mi,Moderate,Considerable,Considerable,Considerable,tabe3w,10017,mount-shavano,3
18,Mount Belford,14202,Sawatch Range,Missouri Mountain - Northwest Ridge,true,false,false,Missouri Mountain,Class 2,"4,500'",10.5 mi,Considerable,Considerable,Low,Moderate,miss1,10018,mount-belford,1
18,Mount Belford,14202,Sawatch Range,Mt. Belford - Northwest Ridge,true,false,true,Mt. Belford,Class 2,"4,500'",8 mi,Low,Moderate,Low,Moderate,belf1,10018,mount-belford,1
18,Mount Belford,14202,Sawatch Range,Mt. Oxford - Via Mt. Belford,true,false,false,Mt. Oxford,Class 2,"5,900'",11 mi,Moderate,Moderate,Low,Considerable,oxfo2,10018,mount-belford,1
18,Mount Belford,14202,Sawatch Range,Missouri Mountain - North Face Couloirs,false,true,false,Missouri Mountain,Difficult Class 2 Moderate Snow,"4,500'",9 mi,Considerable,Moderate,Considerable,Considerable,miss3,10018,mount-belford,1
18,Mount Belford,14202,Sawatch Range,Missouri Mountain - West Ridge,false,false,false,Missouri Mountain,Class 2,"4,250'",11.75 mi,Considerable,Considerable,Moderate,Moderate,miss2,10018,mount-belford,4
18,Mount Belford,14202,Sawatch Range,Mt. Belford - Northwest Gully,false,true,true,Mt. Belford,Class 2 Easy Snow,"4,500'",7 mi,Moderate,Considerable,Moderate,Moderate,belf8,10018,mount-belford,1
18,Mount Belford,14202,Sawatch Range,Mt. Belford - Southwest Slopes,false,false,true,Mt. Belford,Class 2,"4,500'",11 mi,Low,Low,Low,Moderate,belf9,10018,mount-belford,1
19,Mount Princeton,14200,Sawatch Range,Mt. Princeton - East Slopes,true,false,true,Mt. Princeton,Class 2,"3,200'",6.5 mi,Moderate,Moderate,Moderate,Moderate,prin1,10020,mount-princeton,3
20,Mount Yale,14200,Sawatch Range,Mt. Yale - Southwest Slopes,true,false,true,Mt. Yale,Class 2,"4,300'",9.5 mi,Moderate,Moderate,Low,Moderate,yale1,10021,mount-yale,0
20,Mount Yale,14200,Sawatch Range,Mt. Yale - East Ridge,false,false,true,Mt. Yale,Class 2,"5,000'",10.5 mi,Moderate,Considerable,Considerable,Considerable,yale2,10021,mount-yale,0
21,Crestone Needle,14196,Sangre de Cristo,Crestone Needle - South Face,true,false,true,Crestone Needle,Class 4,"4,400'",12 mi,High,Considerable,High,Considerable,cnee1,10019,crestone-needle,4
21,Crestone Needle,14196,Sangre de Cristo,Crestone Peak - South Face,true,false,false,Crestone Peak,Class 3,"5,700'",14 mi,High,Considerable,Considerable,Considerable,cpea2,10019,crestone-needle,4
21,Crestone Needle,14196,Sangre de Cristo,Humboldt Peak - West Ridge,true,false,false,Humboldt Peak,Class 2,"4,200'",11 mi,Moderate,Moderate,Moderate,Low,humb1,10019,crestone-needle,4
21,Crestone Needle,14196,Sangre de Cristo,Combo: Crestones Traverse,false,false,false,COMBO,Class 5,"5,300'",14 mi,Extreme,Considerable,High,High,cnee3,10019,crestone-needle,4
21,Crestone Needle,14196,Sangre de Cristo,Crestone Needle - Ellingwood Arete/Ledges,false,false,true,Crestone Needle,Class 5,"4,400'",11.25 mi,Extreme,High,High,Extreme,cnee5,10019,crestone-needle,4
21,Crestone Needle,14196,Sangre de Cristo,Humboldt Peak - East Ridge,false,false,false,Humboldt Peak,Class 2,"4,300'",8 mi,Moderate,Moderate,Considerable,Moderate,humb2,10019,crestone-needle,3
21,Crestone Needle,14196,Sangre de Cristo,Humboldt Peak - Southeast Gully,false,true,false,Humboldt Peak,Class 2 Moderate Snow,"5,400'",8 mi,Moderate,Moderate,Considerable,Moderate,humb3,10019,crestone-needle,4
